U (V)	I (A)	r (cm)	B	e/m	mu0					
153	1.03	8.8	6.0E-04	1.09E+11	1.26E-06			1.09	4	4.86E+10
153	1.52	7.9	8.9E-04	6.21E+10	n			0.62		2.06E+10
153	2.00	5.5	1.17E-03	7.40E+10	1.30E+02			0.74		2.68E+10
153	2.52	4.5	1.47E-03	6.97E+10	R			0.70		2.47E+10
201	1.03	9.2	6.0E-04	1.31E+11	0.200			1.31		5.59E+10
201	1.51	6.3	8.8E-04	1.30E+11	e/m			1.30		5.52E+10
201	2.00	4.9	1.17E-03	1.23E+11	1.76E+11			1.23		4.99E+10
201	2.53	4.0	1.48E-03	1.15E+11				1.15		4.53E+10
250	1.02	10.4	6.0E-04	1.30E+11				1.30		4.81E+10
250	1.51	7.0	8.8E-04	1.31E+11				1.31		5.00E+10
250	2.01	5.2	1.17E-03	1.34E+11				1.34		5.19E+10
250	2.50	4.2	1.46E-03	1.33E+11				1.33		5.07E+10
300	1.02	10.4	6.0E-04	1.56E+11				1.56		5.77E+10
300	1.50	8.0	8.8E-04	1.22E+11				1.22		4.02E+10
300	2.03	5.8	1.19E-03	1.27E+11				1.27		4.27E+10
300	2.50	5.0	1.46E-03	1.12E+11				1.12		3.61E+10
300	3.00	4.7	1.75E-03	8.83E+10				0.88		2.52E+10
350	1.02	12.5	6.0E-04	1.26E+11				1.26		3.88E+10
350	1.48	8.8	8.7E-04	1.21E+11				1.21		3.65E+10
350	2.02	6.6	1.18E-03	1.15E+11				1.15		3.46E+10
350	2.51	5.3	1.47E-03	1.16E+11				1.16		3.46E+10
350	3.03	4.5	1.77E-03	1.10E+11				1.10		3.24E+10
										
				1.15E+11	3.45E+01					
										
				2.29E+10				0.229		
