# Intensity	Potential (V)	Current (nA)
3	-5.1	4.9
3	-3.285	4.9
3	-2.702	4.9
3	-2.3	4.9
3	-1.856	4.9
3	-1.396	5.2
3	-0.791	5.3
3	-0.351	5.9
3	-0.244	6.0
3	-0.00035	6.6
3	0.0	6.8
3	1.22	20.0
3	2.17	77.0
3	3.02	100.0
3	4.01	130.0
3	5.1	140.0
2	-2.043	8.21
2	-1.717	8.20
2	-1.452	8.19
2	-1.146	8.18
2	-0.874	8.17
2	-0.466	8.16
2	0	8.15
2	1.162	8.09
2	2.006	8.10
2	2.671	8.11
2	3.474	8.12
2	4.16	8.13
2	5.1	8.14
1	-1.954	5.4
1	-0.717	5.4
1	-0.292	5.4
1	-0.0	5.5
1	1.0	5.8
1	1.631	6.3
1	2.344	7.0
1	3.26	8.3
1	4.52	10.3
